,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
24,06936,顺丰控股拟10股派发末期现金股利4.4元,3月28日，顺丰控股（002352/06936）发布公告，董事会建议将2024年度现金分红比例从2023年度的35%提升至,2025-03-28 20:04:47,财中社,http://finance.eastmoney.com/a/202503283359492763.html
25,06936,富时罗素6月季检结果出炉 泡泡玛特、顺丰控股获纳入富时中国50指数,富时中国50指数成分股新纳入泡泡玛特(09992)、顺丰控股06936，剔除招商证券(06099)、中国中铁(00390,2025-06-04 17:37:14,财联社,http://finance.eastmoney.com/a/202506043421876020.html
26,06936,顺丰控股4月营业收入239.15亿元 同比增12.42%,5月19日，顺丰控股（002352/06936）发布公告，2025年4月的快递物流业务经营简报显示，公司整体营业收入为,2025-05-19 19:54:45,财中社,http://finance.eastmoney.com/a/202505193408458019.html
27,06936,富时罗素6月季检结果出炉 泡泡玛特、顺丰控股获纳入富时中国50指数,富时中国50指数成分股新纳入泡泡玛特(09992)、顺丰控股06936，剔除招商证券(06099)、中国中铁(00390,2025-06-04 17:44:05,南方财经网,http://finance.eastmoney.com/a/202506043421893028.html
28,06936,顺丰控股推进数字化转型与乡村快递服务网络建设,顺丰控股（002352/06936）发布公告，2025年4月10日，公司举行了投资者关系活动，主要内容包括公司在提高毛利率,2025-04-11 10:44:56,财中社,http://finance.eastmoney.com/a/202504113374207859.html
29,06936,港股物流股震荡上升，顺丰同城涨超7%,日，港股物流股震荡上升，顺丰同城(09699.HK)涨超7%，顺丰控股06936.HK)涨近4%,2025-06-12 11:01:47,每日经济新闻,http://finance.eastmoney.com/a/202506123428746423.html
30,06936,顺丰控股：2024年净利润101.7亿元 同比增长23.51% 拟每股派息0.44元人民币,中证智能财讯顺丰控股（06936）4月7日披露2024年度报告。,2025-04-09 14:15:56,中国证券报·中证网,http://finance.eastmoney.com/a/202504093371351740.html
31,06936,港股公告精选｜顺丰控股5月收入超250亿元 嘉创地产上一财年盈利降约50%,财联社为您带来今日港股重要公告1）公司要闻顺丰控股06936.HK)：5月速运物流业务、供应链及国际业务合计收入,2025-06-19 21:05:32,财联社,http://finance.eastmoney.com/a/202506193435283179.html
32,06936,港股顺丰控股涨超7%,每经AI快讯，港股顺丰控股涨超7%。,2025-06-20 10:18:34,每日经济新闻,http://finance.eastmoney.com/a/202506203436047928.html
33,06936,顺丰控股获张坤大举加仓,名基金经理张坤管理的易方达蓝筹精选混合型证券投资基金“空降”了顺丰控股前十大股东榜，截至一季度末，该基金持有顺丰控股约,2025-04-29 07:16:18,上海证券报,http://finance.eastmoney.com/a/202504293391827782.html
34,06936,顺丰控股2024年净利润同比增超23%,3月28日晚间，顺丰控股股份有限公司（以下简称“顺丰控股”）发布2024年年报。,2025-03-29 00:36:08,证券日报,http://finance.eastmoney.com/a/202503293359681863.html
35,06936,顺丰控股斥资7.58亿回购约2077万股股份,新京报贝壳财经讯 4月2日，顺丰控股发布公告，披露了公司A股股份回购的最新进展。,2025-04-02 21:20:02,新京报,http://finance.eastmoney.com/a/202504023363829312.html
36,06936,顺丰控股启动10亿元回购计划,顺丰控股相关负责人在近期接受机构调研时表示，上半年国内物流市场保持稳定韧性增长，新质生产力的物流需求成为行业重要增长机会点,2025-09-04 00:40:40,证券日报,http://finance.eastmoney.com/a/202509043503860971.html
37,06936,华泰国际助力顺丰控股完成H股配售及可转债发行,作为持续服务顺丰控股的投资银行，华泰将顺丰控股视为战略客户，并与其保持紧密合作关系。,2025-07-14 16:00:46,中国证券报·中证网,http://finance.eastmoney.com/a/202507143456092367.html
